ZoneCategory,Address,BuildingSqFt,PropertyType,OwnerName,OwnerState
CRA Only,1633 N BAYSHORE DR,643107,HOTEL OR MOTEL : HOTEL,BISCAYNE BAY LAND EAT LLC,AZ
CRA Only,1756 N BAYSHORE DR,737810,MULTIFAMILY 10 UNITS PLUS : MULTIFAMILY 3 OR MORE UNITS,BAY PARC PLAZA APT LP,TX
CRA Only,245 NE 14 ST,909126,MULTIFAMILY 10 UNITS PLUS : MULTIFAMILY 3 OR MORE UNITS,OPERA PLAZA LLC,FL
CRA Only,240 N MIAMI AVE,415140,MULTIFAMILY 10 UNITS PLUS : COMMERCIAL - TOTAL VALUE,GRAND STATION PARTNERS LLC,FL
CRA Only,240 N MIAMI AVE,415140,MULTIFAMILY 10 UNITS PLUS : COMMERCIAL - TOTAL VALUE,GRAND STATION PARTNERS LLC,FL
CRA Only,400 NW 1 AVE,655148,MIXED USE-STORE/RESIDENTIAL : MIXED USE - COMMERCIAL,DT RESIDENTIAL SOUTH LLC,VA
CRA Only,400 NW 1 AVE,655148,MIXED USE-STORE/RESIDENTIAL : MIXED USE - COMMERCIAL,DT RESIDENTIAL SOUTH LLC,VA
CRA Only,400 NW 1 AVE,655148,MIXED USE-STORE/RESIDENTIAL : MIXED USE - COMMERCIAL,DT RESIDENTIAL SOUTH LLC,VA
CRA Only,400 NW 1 AVE,655148,MIXED USE-STORE/RESIDENTIAL : MIXED USE - COMMERCIAL,DT RESIDENTIAL SOUTH LLC,VA
CRA Only,400 NW 1 AVE,655148,MIXED USE-STORE/RESIDENTIAL : MIXED USE - COMMERCIAL,DT RESIDENTIAL SOUTH LLC,VA
CRA Only,350 NW 1 AVE,241508,STORE : RETAIL OUTLET,DTS DT RETAIL LLC,FL
CRA Only,350 NW 1 AVE,241508,STORE : RETAIL OUTLET,DTS DT RETAIL LLC,FL
CRA Only,350 NW 1 AVE,241508,STORE : RETAIL OUTLET,DTS DT RETAIL LLC,FL
CRA Only,350 NW 1 AVE,241508,STORE : RETAIL OUTLET,DTS DT RETAIL LLC,FL
CRA Only,350 NW 1 AVE,241508,STORE : RETAIL OUTLET,DTS DT RETAIL LLC,FL
CRA Only,350 NW 1 AVE,241508,STORE : RETAIL OUTLET,DTS DT RETAIL LLC,FL
