ZoneCategory,Address,BuildingSqFt,PropertyType,OwnerName,OwnerState
OZ Only,2801 NW 74 AVE,163375,WAREHOUSE TERMINAL OR STG : WAREHOUSE OR STORAGE,NEW WORLD TRADE CTR II,FL
OZ Only,7200 NW 25 ST,178521,LIGHT MANUFACTURING : LIGHT MFG & FOOD PROCESSING,MP WEBSTER PARK LLC,MA
OZ Only,1260 NW 72 AVE,124707,WAREHOUSE TERMINAL OR STG : WAREHOUSE OR STORAGE,EL DORADO ENTERPRISES /MIAMI INC,FL
OZ Only,7000 NW 25 ST,137560,WAREHOUSE TERMINAL OR STG : WAREHOUSE OR STORAGE,JORKEN MIAMI LLC,FL
OZ Only,1630 NW 70 AVE,155914,WAREHOUSE TERMINAL OR STG : WAREHOUSE OR STORAGE,DCT BOGGY CREEK FL LP,CO
OZ Only,2003 NW 70 AVE,243384,WAREHOUSE TERMINAL OR STG : WAREHOUSE OR STORAGE,DCT BOGGY CREEK FL LP,CO
OZ Only,7340 NW 25 ST,131194,WAREHOUSE TERMINAL OR STG : WAREHOUSE OR STORAGE,UNITED PARCEL SERVICE INC,GA
OZ Only,7205 NW 19 ST,139028,OFFICE BUILDING - ONE STORY : OFFICE BUILDING,SPUS7 MIAMI ACC LAND LP,FL
OZ Only,7300 NW 19 ST,353374,OFFICE BUILDING - MULTISTORY : OFFICE BUILDING,SPUS7 MIAMI ACC LAND LP,FL
OZ Only,7600 NW 19 ST,252907,OFFICE BUILDING - MULTISTORY : OFFICE BUILDING,SPUS7 MIAMI ACC LAND LP,FL
OZ Only,7665 NW 19 ST,499254,INSURANCE COMPANY : OFFICE BUILDING,SPUS7 MIAMI ACC LAND LP,FL
OZ Only,711 NW 72 AVE,570000,HOTEL OR MOTEL : COMMERCIAL - TOTAL VALUE,AFP 103 CORP,NY
OZ Only,6910 NW 12 ST,221399,WAREHOUSE TERMINAL OR STG : WAREHOUSE OR STORAGE,AJA PROPERTIES NO 8 LTD,FL
OZ Only,1150 NW 72 AVE,145061,OFFICE BUILDING - MULTISTORY : OFFICE BUILDING,ZEREP TOWERS LLC,FL
OZ Only,9200 NW 11 AVE,504970,HOSPITAL - PRIVATE : HEALTH CARE,MPT OF MIAMI EXCHANGE LLC,AL
OZ Only,975 NW 95 ST,161909,EDUCATIONAL/SCIENTIFIC - EX : EDUCATIONAL - PRIVATE,ADES FAMILY FOUNDATION INC,FL
OZ Only,1177 NW 81 ST,152809,PACKING PLANT : LIGHT MFG & FOOD PROCESSING,JACOB FLEISHMAN & SONS INC,FL
OZ Only,7000 NW 32 AVE,484824,WAREHOUSE TERMINAL OR STG : WAREHOUSE OR STORAGE,CENTERPOINT PROPERTIES TRUST,IL
OZ Only,6960 NW 36 AVE,144675,WAREHOUSE TERMINAL OR STG : WAREHOUSE OR STORAGE,MIAMI BUSINESS PARK LLC,CA
OZ Only,7007 NW 37 AVE,130794,WAREHOUSE TERMINAL OR STG : WAREHOUSE OR STORAGE,MIAMI BUSINESS PARK LLC,CA
OZ Only,6699 NW 36 AVE,211928,WAREHOUSE TERMINAL OR STG : WAREHOUSE OR STORAGE,LRF3 MIA 36TH AVENUE LLC,MA
OZ Only,3325 NW 62 ST,216109,FOOD PROCESSING : LIGHT MFG & FOOD PROCESSING,TRUJILLO BROTHERS OF MIAMI DADE,FL
OZ Only,3455 NW 54 ST,147767,WAREHOUSE TERMINAL OR STG : WAREHOUSE OR STORAGE,WSLP SEABOARD OWNER IX L P,FL
OZ Only,5400 NW 32 AVE,123959,WAREHOUSE TERMINAL OR STG : WAREHOUSE OR STORAGE,MLIP LLC,FL
OZ Only,3690 NW 62 ST,120563,WAREHOUSE TERMINAL OR STG : WAREHOUSE OR STORAGE,ALFONCITO INVESTMENTS INC,FL
OZ Only,3475 NW 60 ST,131889,WAREHOUSE TERMINAL OR STG : WAREHOUSE OR STORAGE,OMNI REALTY INC,FL
OZ Only,3250 NW 65 ST,155070,WAREHOUSE TERMINAL OR STG : WAREHOUSE OR STORAGE,TRUJILLO BROTHERS OF,FL
OZ Only,3150 NW 42 ST,133893,MULTIFAMILY 10 UNITS PLUS : MULTIFAMILY 3 OR MORE UNITS,REGATTA PLACE ASSOCIATES LTD,FL
OZ Only,2350 NW 54 ST,145627,MULTIFAMILY 10 UNITS PLUS : MULTIFAMILY 3 OR MORE UNITS,EHDOC PEPPER TOWERS LIMITED,FL
OZ Only,9761 SW 152 ST,187775,MULTIFAMILY 10 UNITS PLUS : MULTIFAMILY 3 OR MORE UNITS,VILLAGE AT CORAL REEF LLC,MA
OZ Only,10471 SW 216 ST,144629,MULTIFAMILY 10 UNITS PLUS : MULTIFAMILY 3 OR MORE UNITS,CUTLER VISTA HOUSING L P,FL
OZ Only,10362 SW 212 ST,200048,MULTIFAMILY 10 UNITS PLUS : MULTIFAMILY 3 OR MORE UNITS,CUTLER HAMMOCK PRESERVATION LP,FL
OZ Only,21600 SW 104 CT,170958,MULTIFAMILY 10 UNITS PLUS : MULTIFAMILY 3 OR MORE UNITS,CUTLER RIVERSIDE PRESERVATION LP,FL
OZ Only,10400 SW 216 ST,136880,MULTIFAMILY 10 UNITS PLUS : MULTIFAMILY 3 OR MORE UNITS,HAINLIN MILLS PRESERVATION LP,FL
OZ Only,30215 S DIXIE HWY,121494,WAREHOUSE TERMINAL OR STG : WAREHOUSE OR STORAGE,U HAUL CO OF FLORIDA,AZ
OZ Only,16051 S DIXIE HWY,251016,COMMUNITY SHOPPING CENTER : RETAIL OUTLET,EYP SOUTH DADE LLC,FL
OZ Only,16165 S DIXIE HWY,376983,AUTOMOTIVE OR MARINE : AUTOMOTIVE OR MARINE,SOUTH MOTOR COMPANY OF DADE CO,FL
OZ Only,18275 SW 98 AVENUE RD,161012,MULTIFAMILY 10 UNITS PLUS : MULTIFAMILY 3 OR MORE UNITS,PALMETTO BAY TH LLC,FL
OZ Only,18301 S DIXIE HWY,318925,MULTIFAMILY 10 UNITS PLUS : MULTIFAMILY 3 OR MORE UNITS,WESTDALE BAY VILLAGE LLC,TX
OZ Only,17945 SW 97 AVE,504698,MULTIFAMILY 10 UNITS PLUS : MULTIFAMILY 3 OR MORE UNITS,FCI PALMETTO BAY LLC,FL
OZ Only,9500 SW 174 ST,428116,MULTIFAMILY 10 UNITS PLUS : MULTIFAMILY 3 OR MORE UNITS,PALMETTO VENTURE PARTNERS LLC,FL
OZ Only,21343 NW 2 AVE,174670,REGIONAL SHOPPING CENTER : RETAIL OUTLET,COUNTY LINE CENTER LLC,FL
OZ Only,18350 NW 7 AVE,120835,COMMUNITY SHOPPING CENTER : RETAIL OUTLET,MIAMI GARDENS HOLDINGS LLC,FL
OZ Only,18665 NW 37 AVE,194562,MULTIFAMILY 10 UNITS PLUS : MULTIFAMILY 3 OR MORE UNITS,MIAMI GARDENS APARTMENTS LLC,NY
OZ Only,16700 NW 32 AVE,144040,HEAVY INDUSTRIAL : HEAVY IND OR LUMBER YARD,B F GOODRICH CO,CT
OZ Only,16401 NW 37 AVE,649901,EDUCATIONAL/SCIENTIFIC - EX : EDUCATIONAL - PRIVATE,ST THOMAS UNIVERSITY INC,FL
OZ Only,4200 NW 167 ST,513327,WAREHOUSE TERMINAL OR STG : WAREHOUSE OR STORAGE,CAPO & SONS CORP,FL
OZ Only,4320 NW 167 ST,164445,STORE : RETAIL OUTLET,EYP MIAMI LLC,FL
OZ Only,4255 NW 156 ST,389450,EDUCATIONAL/SCIENTIFIC - EX : EDUCATIONAL - PRIVATE,FLORIDA MEMORIAL UNIVERSITY INC,FL
OZ Only,5405 NW 159 ST,409355,MULTIFAMILY 10 UNITS PLUS : MULTIFAMILY 3 OR MORE UNITS,5200 NW 158TH TERRACE FL,IL
OZ Only,5255 NW 159 ST,190397,WAREHOUSE TERMINAL OR STG : WAREHOUSE OR STORAGE,AG RC III PALMETTO LAKES,FL
OZ Only,16175 NW 49 AVE,137565,WAREHOUSE TERMINAL OR STG : WAREHOUSE OR STORAGE,NW 49TH AVENUE LLC,IL
OZ Only,5601 NW 159 ST,124126,WAREHOUSE TERMINAL OR STG : WAREHOUSE OR STORAGE,VIDA ABUNDANTE INC,FL
OZ Only,16241 NW 48 AVE,164254,LIGHT MANUFACTURING : LIGHT MFG & FOOD PROCESSING,E J FLORIDA PROPERTY LLC,GA
OZ Only,4775 NW 157 ST,176052,WAREHOUSE TERMINAL OR STG : WAREHOUSE OR STORAGE,PALMETTO LAKES INVESTORS LLC,FL
OZ Only,15801 NW 49 AVE,142415,WAREHOUSE TERMINAL OR STG : WAREHOUSE OR STORAGE,PALMETTO LAKES INDUSTRIAL,NJ
OZ Only,5660 NW 167 ST,154595,STORE : RETAIL OUTLET,DORSAN DEV LTD,FL
OZ Only,18403 S DIXIE HWY,250133,COMMUNITY SHOPPING CENTER : RETAIL OUTLET,SOUTH DADE SHOPPING LLC,IA
OZ Only,20507 S DIXIE HWY,146658,COMMUNITY SHOPPING CENTER : RETAIL OUTLET,BH RETAIL SOUTH DIXIE LLC,FL
OZ Only,20505 S DIXIE HWY,688723,COMMUNITY SHOPPING CENTER : RETAIL OUTLET,BH SOUTH DIXIE SL MALL LLC,FL
OZ Only,10701 SW 211 ST,164009,AUTOMOTIVE OR MARINE : AUTOMOTIVE OR MARINE,BIJ MOTORS CUTLER BAY LLC,FL
