Address,City,Property Type,Building Sq Ft,Estimated Units,Owner Name,Owner State,Tax Status,Zones,Distress Score,Google Maps Link
600 NW 6 ST,Miami,MULTIFAMILY 10 UNITS PLUS,323299,646,TUSCAN PLACE LTD PARTNERSHIP,MA,"Delinquent ($18,500)",CRA: SE  Overtown/Park West + OZ: 36.01,4/6,"https://www.google.com/maps/search/?api=1&query=25.779135,-80.205255"
14900 SW 283 ST,Homestead,MULTIFAMILY 10 UNITS PLUS,321122,642,SW 283 HOMESTEAD LLC,CO,"Delinquent ($18,500)",CRA: Naranja,4/6,"https://www.google.com/maps/search/?api=1&query=25.504028,-80.433913"
18301 S DIXIE HWY,Cutler Bay,MULTIFAMILY 10 UNITS PLUS,318925,637,WESTDALE BAY VILLAGE LLC,TX,"Delinquent ($18,500)",OZ: 82.08,4/6,"https://www.google.com/maps/search/?api=1&query=25.600055,-80.352397"
18900 NW 27 AVE,Miami Gardens,MULTIFAMILY 10 UNITS PLUS,292626,585,18800 NW 27TH AVENUE OWNER LLC,IL,"Delinquent ($8,000)",CRA: Miami Gardens + OZ: 100.11,4/6,"https://www.google.com/maps/search/?api=1&query=25.947398,-80.246731"
1951 NW 7 AVE,Miami,PROFESSIONAL SERVICE BLDG,291755,583,7TH AVE MARKET LLC,AZ,"Delinquent ($18,500)",CRA: SE  Overtown/Park West + OZ: 31,4/6,"https://www.google.com/maps/search/?api=1&query=25.79491,-80.206747"
4310 NW 215 ST,Miami Gardens,WAREHOUSE TERMINAL OR STG,287958,575,MG EAST LLC,IL,"Delinquent ($18,500)",CRA: Miami Gardens + OZ: 100.01,4/6,"https://www.google.com/maps/search/?api=1&query=25.968464,-80.270925"
4350 NW 215 ST,Miami Gardens,WAREHOUSE TERMINAL OR STG,287958,575,MG EAST LLC,IL,"Delinquent ($8,000)",CRA: Miami Gardens + OZ: 100.01,4/6,"https://www.google.com/maps/search/?api=1&query=25.9684,-80.272635"
950 NE 124 ST,North Miami,MULTIFAMILY 10 UNITS PLUS,282475,564,HORIZON AT NOMI LLC,NY,"Delinquent ($8,000)",CRA: North Miami,4/6,"https://www.google.com/maps/search/?api=1&query=25.889191,-80.178686"
7101 NW 32 AVE,Miami,WAREHOUSE TERMINAL OR STG,277425,554,RLIF EAST 6 LLC,MD,"Delinquent ($18,500)",CRA: NW 79th Street + OZ: 9.03,4/6,"https://www.google.com/maps/search/?api=1&query=25.839354,-80.249133"
919 NW 2 AVE,Miami,MULTIFAMILY 10 UNITS PLUS,271269,542,LYRIC HOUSING LTD,MA,"Delinquent ($8,000)",CRA: SE  Overtown/Park West + OZ: 34,4/6,"https://www.google.com/maps/search/?api=1&query=25.783213,-80.197381"
445 NW 4 ST,Miami,MULTIFAMILY 10 UNITS PLUS,264180,528,MIAMI RIVER PARK ASSOC LTD,MA,"Delinquent ($18,500)",OZ: 36.01,4/6,"https://www.google.com/maps/search/?api=1&query=25.778035,-80.202006"
1500 NW 119 ST,Hialeah,MULTIFAMILY 10 UNITS PLUS,258445,516,1560 NW 119TH STREET FL OWNER,IL,"Delinquent ($18,500)",OZ: 4.09,4/6,"https://www.google.com/maps/search/?api=1&query=25.881513,-80.224324"
3208 NW 72 AVE,Miami,WAREHOUSE TERMINAL OR STG,256728,513,ATC PROPERTY OWNER LLC,CT,"Delinquent ($18,500)",OZ: 91,4/6,"https://www.google.com/maps/search/?api=1&query=25.805217,-80.314484"
7205 NE 4 AVE,Miami,WAREHOUSE TERMINAL OR STG,255124,510,SW 71 OWNER LLC,NY,"Delinquent ($18,500)",OZ: 14.02,4/6,"https://www.google.com/maps/search/?api=1&query=25.84292,-80.188938"
1100 LINCOLN RD,Miami Beach,STORE,253168,506,BH 1100 LINCOLN ROAD LLC,CA,"Delinquent ($18,500)",CRA: Miami Beach City Center,4/6,"https://www.google.com/maps/search/?api=1&query=25.790104,-80.140608"
33501 S DIXIE HWY,Florida City,DEPARTMENT STORE,252526,505,WAL MART STORES EAST LP,AR,"Delinquent ($18,500)",CRA: Florida City,4/6,"https://www.google.com/maps/search/?api=1&query=25.457549,-80.472808"
150 NE 79 ST,Miami,MULTIFAMILY 10 UNITS PLUS,251004,502,LAFAYETTE SQUARE LTD,MA,"Delinquent ($18,500)",OZ: 14.02,4/6,"https://www.google.com/maps/search/?api=1&query=25.847095,-80.194285"
18403 S DIXIE HWY,Homestead,COMMUNITY SHOPPING CENTER,250133,500,SOUTH DADE SHOPPING LLC,IA,"Delinquent ($18,500)",OZ: 82.08,4/6,"https://www.google.com/maps/search/?api=1&query=25.597673,-80.352803"
1250 NW 79 ST,Miami,MULTIFAMILY 10 UNITS PLUS,243564,487,1320 NW 79TH STREET FL OWNER,IL,"Delinquent ($18,500)",CRA: NW 79th Street + OZ: 10.04,4/6,"https://www.google.com/maps/search/?api=1&query=25.844428,-80.218627"
2003 NW 70 AVE,Miami,WAREHOUSE TERMINAL OR STG,243384,486,DCT BOGGY CREEK FL LP,CO,"Delinquent ($8,000)",OZ: 91,4/6,"https://www.google.com/maps/search/?api=1&query=25.793107,-80.309875"
1400 E MOWRY DR,Miami-Dade County,MULTIFAMILY 10 UNITS PLUS,235219,470,1400 E MOWRY DRIVE FL OWNER LLC,IL,"Delinquent ($8,000)",OZ: 110.01,4/6,"https://www.google.com/maps/search/?api=1&query=25.467624,-80.459155"
19501 NW 27 AVE,Miami Gardens,STORE,232001,464,WAL MART STORES EAST LP,AR,"Delinquent ($18,500)",CRA: Miami Gardens,4/6,"https://www.google.com/maps/search/?api=1&query=25.954176,-80.24456"
5501 NW 72 AVE,Miami,WAREHOUSE TERMINAL OR STG,227880,455,SPG 72ND AVE LLC,PA,"Delinquent ($8,000)",OZ: 91,4/6,"https://www.google.com/maps/search/?api=1&query=25.823994,-80.310498"
13700 SW 268 ST,Homestead,MULTIFAMILY 10 UNITS PLUS,226882,453,MALIBU GARDENS OWNER LLC,CA,"Delinquent ($18,500)",CRA: Naranja,4/6,"https://www.google.com/maps/search/?api=1&query=25.517285,-80.414109"
21150 BISCAYNE BLVD,Miami Gardens,PARKING LOT/MOBILE HOME PARK,225234,450,MIAMI BEACH HEALTHCARE GROUP LTD,TN,"Delinquent ($18,500)",OZ: 1.34,4/6,"https://www.google.com/maps/search/?api=1&query=25.971288,-80.144848"
